Classification,Pitch0,Roll0,Pitch1,Roll1,Pitch2,Roll2,Pitch3,Roll3,Pitch4,Roll4
A,-969,-285,-969,-456,-969,-513,-1140,-114,1026,0
A,-969,-342,-969,-513,-1026,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-969,-456,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-342,-912,-513,-969,-513,-1140,-114,1026,0
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-228,-912,-342,-1026,-399,-1140,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,0
A,-912,-228,-912,-399,-1026,-399,-1140,0,1140,0
A,-912,-228,-912,-399,-1026,-399,-1083,0,1083,0
A,-912,-228,-969,-399,-1026,-399,-1140,0,1140,0
A,-912,-171,-969,-399,-1026,-456,-1140,-57,1083,57
A,-912,-171,-912,-399,-1026,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-1026,-456,-1083,-57,1083,114
A,-912,-171,-912,-399,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-969,-456,-1140,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-969,-456,-1026,-456,-1140,-57,1083,57
A,-912,-228,-969,-456,-1026,-456,-1140,-57,1083,57
A,-912,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-969,-399,-1026,-399,-1140,0,1083,0
A,-912,-171,-969,-285,-1026,-342,-1140,0,1026,171
A,-912,-171,-969,-342,-1026,-399,-1140,0,1083,171
A,-912,-171,-969,-342,-1026,-399,-1140,0,1083,114
A,-912,-171,-969,-342,-1026,-399,-1140,0,1083,114
A,-912,-228,-969,-342,-1026,-399,-1140,0,1083,57
A,-912,-228,-912,-342,-1026,-399,-1140,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,57
A,-912,-285,-912,-399,-1026,-399,-1083,0,1083,0
A,-912,-228,-912,-399,-1026,-399,-1140,0,1140,0
A,-912,-228,-912,-399,-1026,-399,-1083,0,1083,0
A,-912,-228,-969,-399,-1026,-399,-1140,0,1140,0
A,-912,-171,-969,-399,-1026,-456,-1140,-57,1083,57
A,-912,-171,-912,-399,-1026,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-1026,-456,-1083,-57,1083,114
A,-912,-171,-912,-399,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-399,-969,-456,-1140,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-912,-456,-969,-456,-1083,-57,1083,114
A,-912,-228,-969,-456,-1026,-456,-1140,-57,1083,57
A,-912,-228,-969,-456,-1026,-456,-1140,-57,1083,57
A,-912,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,57
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-1026,-399,-1026,-399,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-114,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-114,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-114,-1026,-342,-1083,-342,-1140,0,1083,0
A,-969,-114,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-114,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-969,-171,-969,-399,-1026,-399,-1140,0,1083,0
A,-969,-228,-969,-399,-1026,-399,-1140,-57,1083,0
A,-969,-228,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-57,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1026,57
A,-912,-285,-912,-456,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1083,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-912,-342,-912,-513,-969,-513,-1140,-114,1026,57
A,-969,-342,-912,-513,-969,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-969,-513,-1140,-114,1026,0
A,-969,-342,-969,-513,-1026,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-969,-456,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-114,1083,0
A,-969,-285,-969,-456,-1026,-456,-1140,-57,1083,0
A,-912,-456,-912,-627,-969,-627,-1140,-228,969,0
A,-912,-399,-912,-570,-969,-570,-1083,-171,1026,0
A,-969,-399,-912,-570,-969,-570,-1083,-171,1026,0
A,-969,-342,-969,-513,-969,-513,-1140,-114,1026,0
A,-969,-285,-969,-456,-1026,-456,-1083,-114,1026,0
A,-969,-228,-969,-399,-1026,-456,-1140,-57,1026,0
A,-969,-228,-969,-399,-1026,-399,-1140,-57,1026,0
A,-969,-228,-969,-399,-1026,-399,-1140,-57,1026,0
A,-969,-171,-969,-399,-1026,-399,-1140,-57,1083,0
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,-57
A,-969,-171,-1026,-342,-1026,-342,-1140,0,1083,0
A,-1026,-171,-1026,-342,-1083,-342,-1140,0,1083,-57
A,-969,-114,-1026,-285,-1083,-285,-1140,0,1083,-57
A,-969,-114,-1026,-285,-1083,-285,-1140,0,1083,-57
A,-1026,-114,-1026,-285,-1083,-285,-1140,0,1083,-57
A,-1026,-114,-1026,-285,-1083,-285,-1140,0,1083,-57
A,-1026,-57,-1026,-228,-1083,-228,-1140,57,1083,-114
A,-1026,-57,-1026,-228,-1083,-228,-1140,57,1083,-114
A,-1026,0,-1026,-171,-1083,-171,-1140,114,1083,-171
A,-1026,0,-1026,-171,-1083,-171,-1083,114,1083,-171
A,-1026,0,-1026,-171,-1083,-171,-1140,57,1083,-171
A,-1026,0,-1026,-171,-1083,-171,-1083,57,1083,-171
A,-1026,-57,-1083,-228,-1083,-228,-1140,57,1083,-171
A,-1026,-57,-1083,-228,-1083,-228,-1140,57,1083,-171
A,-1026,0,-1083,-171,-1140,-171,-1140,57,1083,-171
A,-1026,0,-1083,-171,-1140,-171,-1140,57,1083,-171
A,-1026,0,-1083,-114,-1083,-114,-1140,114,1083,-171
A,-1026,57,-1083,-57,-1083,-114,-1083,114,1083,-114
A,-969,57,-1083,-57,-1083,-57,-1083,171,1083,-114
A,-969,57,-1083,-57,-1083,-57,-1083,171,1083,-114
A,-912,-114,-912,-513,-912,-570,-1083,-57,1083,0
A,-969,-228,-855,-570,-912,-627,-1140,-171,1083,-57
A,-969,-285,-855,-627,-912,-684,-1140,-228,1083,-57
A,-912,-342,-855,-627,-912,-627,-1083,-171,1026,-57
A,-969,-342,-855,-627,-912,-627,-1083,-171,1083,-57
A,-912,-342,-855,-627,-855,-627,-1083,-171,1026,0
A,-912,-456,-798,-684,-855,-684,-1083,-228,1026,-57
A,-912,-456,-798,-684,-855,-684,-1083,-228,1026,-57
